Position,Artist,Album,Votes,%,Days Left,Time
33,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),34.35,0.21,-11.041666666666664,2021-01-13 14:30:00.375852
34,OH MY GIRL,NONSTOP,30.971999999999998,0.19,-11.041666666666664,2021-01-13 14:30:00.375852
35,ITZY,IT'z ME,16.959,0.1,-11.041666666666664,2021-01-13 14:30:00.375852
36,EXO,EXO PLANET #5 –EXplOration– Live Album,13.148,0.08,-11.041666666666664,2021-01-13 14:30:00.375852
37,APRIL,Da Capo,11.875,0.07,-11.041666666666664,2021-01-13 14:30:00.375852
38,Apink,LOOK,8.775,0.05,-11.041666666666664,2021-01-13 14:30:00.375852
39,PENTAGON,WE:TH,7.755,0.05,-11.041666666666664,2021-01-13 14:30:00.375852
40,DAY6,The Book of Us : The Demon,5.394,0.03,-11.041666666666664,2021-01-13 14:30:00.375852
41,IU,에잇,3.948,0.02,-11.041666666666664,2021-01-13 14:30:00.375852
42,TAEYEON,Happy,2.665,0.02,-11.041666666666664,2021-01-13 14:30:00.375852
43,CHUNG HA,PLAY,1.364,0.01,-11.041666666666664,2021-01-13 14:30:00.375852
44,ZICO,아무노래,0.943,0.01,-11.041666666666664,2021-01-13 14:30:00.375852
45,Paul Kim,"마음, 둘",0.67,0.0,-11.041666666666664,2021-01-13 14:30:00.375852
46,SUNMI,보라빛 밤 (pporappippam),0.258,0.0,-11.041666666666664,2021-01-13 14:30:00.375852
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.223,0.0,-11.041666666666664,2021-01-13 14:30:00.375852
48,Jessi,NUNA,0.20199999999999999,0.0,-11.041666666666664,2021-01-13 14:30:00.375852
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.08900000000000001,0.0,-11.041666666666664,2021-01-13 14:30:00.375852
50,PARK JIN YOUNG,When We Disco,0.044000000000000004,0.0,-11.041666666666664,2021-01-13 14:30:00.375852
1,KANG DANIEL,MAGENTA,1460.328,8.89,-11.0,2021-01-13 15:43:43.327937
2,Stray Kids,GO生,1297.306,7.9,-11.0,2021-01-13 15:43:43.327937
3,NCT 127,NCT #127 Neo Zone,1112.119,6.77,-11.0,2021-01-13 15:43:43.327937
4,ATEEZ,ZERO : FEVER Part.1,1066.558,6.5,-11.0,2021-01-13 15:43:43.327937
5,TOMORROW X TOGETHER,MINISODE 1 : BLUE HOUR,1002.271,6.1,-11.0,2021-01-13 15:43:43.327937
6,HA SUNG WOON,Twilight Zone,995.669,6.06,-11.0,2021-01-13 15:43:43.327937
7,NCT DREAM,RELOAD,897.755,5.47,-11.0,2021-01-13 15:43:43.327937
8,DREAMCATCHER,Dystopia : The Tree of Language,770.992,4.7,-11.0,2021-01-13 15:43:43.327937
9,MONSTA X,FANTASIA X,698.514,4.25,-11.0,2021-01-13 15:43:43.327937
10,GOT7,DYE,681.153,4.15,-11.0,2021-01-13 15:43:43.327937
11,SUPER JUNIOR-D&E,BAD BLOOD,678.35,4.13,-11.0,2021-01-13 15:43:43.327937
12,SEVENTEEN,헹가래,656.058,4.0,-11.0,2021-01-13 15:43:43.327937
13,TWICE,MORE & MORE,654.267,3.98,-11.0,2021-01-13 15:43:43.327937
14,BLACKPINK,How You Like That,643.838,3.92,-11.0,2021-01-13 15:43:43.327937
15,BTS,MAP OF THE SOUL : 7,522.638,3.18,-11.0,2021-01-13 15:43:43.327937
16,BAEKHYUN,Delight,397.484,2.42,-11.0,2021-01-13 15:43:43.327937
17,NU'EST,The Nocturne,369.398,2.25,-11.0,2021-01-13 15:43:43.327937
18,GFRIEND,回:LABYRINTH,363.511,2.21,-11.0,2021-01-13 15:43:43.327937
19,VICTON,Mayday,325.097,1.98,-11.0,2021-01-13 15:43:43.327937
20,SF9,9loryUS,324.368,1.98,-11.0,2021-01-13 15:43:43.327937
21,AB6IX,VIVID,284.518,1.73,-11.0,2021-01-13 15:43:43.327937
22,ASTRO,GATEWAY,218.444,1.33,-11.0,2021-01-13 15:43:43.327937
23,IZ*ONE,BLOOM*IZ,194.635,1.19,-11.0,2021-01-13 15:43:43.327937
24,MAMAMOO,딩가딩가 (Dingga),132.514,0.81,-11.0,2021-01-13 15:43:43.327937
25,PARK JI HOON,The W,130.863,0.8,-11.0,2021-01-13 15:43:43.327937
26,TAEMIN,Never Gonna Dance Again : Act 1,95.002,0.58,-11.0,2021-01-13 15:43:43.327937
27,(G)I-DLE,덤디덤디 (DUMDi DUMDi),69.981,0.43,-11.0,2021-01-13 15:43:43.327937
28,Hwa Sa,María,61.191,0.37,-11.0,2021-01-13 15:43:43.327937
29,NCT,NCT RESONANCE Part 1,51.075,0.31,-11.0,2021-01-13 15:43:43.327937
30,THE BOYZ,CHASE,50.909,0.31,-11.0,2021-01-13 15:43:43.327937
31,LOONA,[#],36.537,0.22,-11.0,2021-01-13 15:43:43.327937
32,CIX,"Hello, Strange Time",35.709,0.22,-11.0,2021-01-13 15:43:43.327937
33,SUPER JUNIOR-K.R.Y.,푸르게 빛나던 우리의 계절 (When We Were Us),34.472,0.21,-11.0,2021-01-13 15:43:43.327937
34,OH MY GIRL,NONSTOP,31.064,0.19,-11.0,2021-01-13 15:43:43.327937
35,ITZY,IT'z ME,17.04,0.1,-11.0,2021-01-13 15:43:43.327937
36,EXO,EXO PLANET #5 –EXplOration– Live Album,13.161,0.08,-11.0,2021-01-13 15:43:43.327937
37,APRIL,Da Capo,11.936,0.07,-11.0,2021-01-13 15:43:43.327937
38,Apink,LOOK,8.811,0.05,-11.0,2021-01-13 15:43:43.327937
39,PENTAGON,WE:TH,7.765,0.05,-11.0,2021-01-13 15:43:43.327937
40,DAY6,The Book of Us : The Demon,5.395,0.03,-11.0,2021-01-13 15:43:43.327937
41,IU,에잇,3.948,0.02,-11.0,2021-01-13 15:43:43.327937
42,TAEYEON,Happy,2.667,0.02,-11.0,2021-01-13 15:43:43.327937
43,CHUNG HA,PLAY,1.364,0.01,-11.0,2021-01-13 15:43:43.327937
44,ZICO,아무노래,0.943,0.01,-11.0,2021-01-13 15:43:43.327937
45,Paul Kim,"마음, 둘",0.681,0.0,-11.0,2021-01-13 15:43:43.327937
46,SUNMI,보라빛 밤 (pporappippam),0.258,0.0,-11.0,2021-01-13 15:43:43.327937
47,BaeK Z Young,거짓말이라도 해서 널 보고싶어,0.223,0.0,-11.0,2021-01-13 15:43:43.327937
48,Jessi,NUNA,0.202,0.0,-11.0,2021-01-13 15:43:43.327937
49,BOL4,사춘기집Ⅱ 꽃 본 나비,0.089,0.0,-11.0,2021-01-13 15:43:43.327937
50,PARK JIN YOUNG,When We Disco,0.044,0.0,-11.0,2021-01-13 15:43:43.327937
